case_id,case_class,query,representation,artifact_source,support_mode,answer,gold_answer,verdict,witness,work,bound,provenance_units,gold_units,runtime_ms,note
audit_01,released,B1,a1,authored,native_exact,True,True,correct,"[A, B]",5,unbounded,unknown,1,1.49,
audit_01,released,B2,a1,authored,native_exact,[],[],correct,unknown,0,unbounded,1,1,0.0,
audit_01,released,B3,a1,authored,not_applicable,[],[],n/a,unknown,0,,unknown,1,0.0,task has no triggered rule
audit_01,released,B4,a1,authored,native_exact,True,True,correct,6,320,unbounded,unknown,1,1.53,
audit_01,released,B5,a1,authored,native_exact,[],[],correct,unknown,0,,1,1,1.51,consistent; no conflict
audit_01,released,B6,a1,authored,native_exact,[],[],correct,unknown,0,,1,1,1.52,already feasible
audit_01,released,B8,a1,authored,native_exact,[2],[2],correct,unknown,1,unbounded,1,1,1.56,
audit_01,released,B1,a2c,authored,adapter_exact,True,True,correct,"[A, B]",5,unbounded,unknown,1,1.55,
audit_01,released,B2,a2c,authored,adapter_exact,[],[],correct,unknown,0,unbounded,1,1,0.0,
audit_01,released,B3,a2c,authored,not_applicable,[],[],n/a,unknown,0,,unknown,1,0.0,task has no triggered rule
audit_01,released,B4,a2c,authored,adapter_exact,True,True,correct,6,320,unbounded,unknown,1,1.61,
audit_01,released,B5,a2c,authored,adapter_exact,[],[],correct,unknown,0,,1,1,1.55,consistent; no conflict
audit_01,released,B6,a2c,authored,adapter_exact,[],[],correct,unknown,0,,1,1,1.58,already feasible
audit_01,released,B8,a2c,authored,adapter_exact,[2],[2],correct,unknown,1,unbounded,1,1,1.63,
audit_01,released,B1,a3,authored,bounded_only,True,True,correct,"[A, B]",16,len<=6,unknown,1,0.03,
audit_01,released,B2,a3,authored,no_provenance,unknown,[],n/a,unknown,0,,unknown,1,0.0,artifact exposes no requirement units
audit_01,released,B3,a3,authored,not_applicable,[],[],n/a,unknown,0,,unknown,1,0.0,task has no triggered rule
audit_01,released,B4,a3,authored,bounded_only,True,True,correct,6,9325,moves<=8,unknown,1,27.15,
audit_01,released,B5,a3,authored,no_provenance,unknown,[],n/a,unknown,0,,unknown,1,0.0,artifact exposes no requirement units
audit_01,released,B6,a3,authored,no_provenance,unknown,[],n/a,unknown,0,,unknown,1,0.0,artifact exposes no requirement units
